tmdb	title	tagline	release	runtime	genres	overview	poster	backdrop	trailers
375588	Robin Hood	The legend you know. The story you don't.	2018-11-21	116	Adventure Action Thriller 	A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.	/AiRfixFcfTkNbn2A73qVJPlpkUo.jpg	/axjFiijtxdfK3CD9dMwrdgLwblD.jpg	tJfDBSWYqU8 ne7eStct3Fc 311YAUVEeTQ 
8005	Robin Hood: Men in Tights	The legend had it coming...	1993-07-28	104	Comedy 	Robin Hood comes home after fighting in the Crusades to learn that the noble King Richard is in exile and that the despotic King John now rules England.. with the help of the Sheriff of Rottingham. Robin Hood assembles a band of fellow patriots to do battle with King John and the Sheriff.	/woexOLEkUlYsPLLuZRK6LjZaF38.jpg	/7UuE0ppipos23d56Aikpt8BNFqq.jpg	dX4Ik-cyp-I 
8367	Robin Hood: Prince of Thieves	Sometimes the only way to uphold justice...is to break the law.	1991-06-14	127	Adventure Romance 	When the dastardly Sheriff of Nottingham murders Robin's father.. the legendary archer vows vengeance. To accomplish his mission.. Robin joins forces with a band of exiled villagers (and comely Maid Marian).. and together they battle to end the evil sheriff's reign of terror.	/hbRnWUNJkKKVN5mkcuC5ooqjE4e.jpg	/dxuiUNBMKLQTgYdM0v0WGJeBtdp.jpg	fERE7bGPwmo DJSsMR5NUuc fhz5aB-u77Q ehpXvP9oC6g 
97020	RoboCop	We've got the future under control.	2014-01-30	102	Action Sci-Fi 	In RoboCop.. the year is 2028 and multinational conglomerate OmniCorp is at the center of robot technology.  Overseas.. their drones have been used by the military for years.. but have been forbidden for law enforcement in America.  Now OmniCorp wants to bring their controversial technology to the home front.. and they see a golden opportunity to do it.  When Alex Murphy – a loving husband.. father and good cop doing his best to stem the tide of crime and corruption in Detroit – is critically injured.. OmniCorp sees their chance to build a part-man.. part-robot police officer.  OmniCorp envisions a RoboCop in every city and even more billions for their shareholders.. but they never counted on one thing: there is still a man inside the machine.	/gM5ql3BKYmHG3WtZ0buKXN7xY8O.jpg	/hTDAWiohFTwJaKNcCNlsKs64bip.jpg	LY67dAT22Pc 7PAOsS3HM78 xPLSpmAtc1Q _w_BPRUdmsQ Fdec_23vZFc ilF2Ki8M-vQ ms-NdvG7cHQ mt3jH3VYycU LNmiCXzdchc I-JewQ7Ud-Y 5OCzHs_F2_s rxVUT9N_LtQ 
84329	Robot & Frank	Friendship doesn't have an off switch	2012-08-16	85	Sci-Fi Comedy Drama Crime 	A delightful dramatic comedy.. a buddy picture.. and.. for good measure.. a heist film. Curmudgeonly old Frank lives by himself. His routine involves daily visits to his local library.. where he has a twinkle in his eye for the librarian. His grown children are concerned about their father’s well-being and buy him a caretaker robot. Initially resistant to the idea.. Frank soon appreciates the benefits of robotic support – like nutritious meals and a clean house – and eventually begins to treat his robot like a true companion. With his robot’s assistance.. Frank’s passion for his old.. unlawful profession is reignited.. for better or worse.	/602vUwe1GPmaRvcrT3OQWqH1Nm1.jpg	/2CL3uTV8KezJLtJKPYrAZTJp0yd.jpg	a_gAJk_CfPI 
504608	Rocketman	Based on a True Fantasy	2019-05-22	121	Drama Music 	The story of Elton John's life.. from his years as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin.	/f4FF18ia7yTvHf2izNrHqBmgH8U.jpg	/sZZJ42GrWKxSOfcrpI2TSFQa0AQ.jpg	mpOGT3GTO84 ei9FqKCRIkg S3vO8E2e6G0 
13809	RockNRolla	A story of sex.. thugs and rock 'n roll.	2008-09-04	114	Action Crime Thriller 	When a Russian mobster sets up a real estate scam that generates millions of pounds.. various members of London's criminal underworld pursue their share of the fortune. Various shady characters.. including Mr One-Two.. Stella the accountant.. and Johnny Quid.. a druggie rock-star.. try to claim their slice.	/i7eyngqjdvKB7NvrWtCjjTNNq8N.jpg	/wqCNT7txsPOMxwac3aO9JFEYYt1.jpg	TdpR8VuvbCM 
1366	Rocky	His whole life was a million-to-one shot.	1976-11-21	119	Drama 	When world heavyweight boxing champion.. Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt.. his handlers choose palooka Rocky Balboa.. an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break.	/i5xiwdSsrecBvO7mIfAJixeEDSg.jpg	/8bp22iC0L4JrGA2G8zGBgGRerr9.jpg	3VUblDwa648 YCrqh3aF8gc YZqdYeVvCJE QcegWaM2sS4 teTHJRDukpM 
330459	Rogue One: A Star Wars Story	A Rebellion Built on Hope	2016-12-14	127	Action Adventure Sci-Fi 	A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.	/5jX3p0apUG5bkMHtnKZch0xpkBS.jpg	/6t8ES1d12OzWyCGxBeDYLHoaDrT.jpg	MaYv3Y8tyoQ Wji-BZ0oCwg 2BDyeARyIkw frdj1zb9sMY sC9abcLLQpI u5sdztM-p98 P2N0Mn4i4Dw xynhtKLc88E FdoKlFAIxdY 
413362	Roman J. Israel.. Esq.	All rise	2017-11-17	127	Drama 	Hard-nosed liberal lawyer Roman J. Israel has been fighting the good fight forever while others take the credit. When his partner – the firm’s frontman – has a heart attack.. Israel suddenly takes on that role. He soon discovers some unsettling truths about the firm – truths that conflict with his values of helping the poor and dispossessed – and finds himself in an existential crisis that leads to extreme actions.	/epTCHVcyLkT8Aqt08Ki3PWC2sUh.jpg	/rW5gI8SEO1qYbXGwRANYrKtMiQB.jpg	CItEtnp3nPY 
