id,tmdb,title,tagline,release_date,poster,backdrop,trailers
51,464502,Acrimony,Hell Hath No Fury,2018-03-30,upURIW6jeEcTJKpaJeoNw5jbcr1,/qTGhOP8eFA5tjn4Lka4UVfDv1Zb.jpg,wlpunOUxYSo 
52,429300,Adrift,Fight for survival,2018-05-31,5gLDeADaETvwQlQow5szlyuhLbj,/64jAqTJvrzEwncD3ARZdqYLcqbc.jpg,n9ukI7khQpE HdMP4sWc71M U7m2P7UUaeI SscY52d22eo mXHYuS-i4Ts jTaNsWPDPyY TxTVp62BGSc FjGoding8Bo 
53,82700,After Earth,Danger is real.. fear is a choice,2013-05-30,lZKG177ftMKamtHQFCZjWEVi1br,/958IEMxVqU3FFOdZll3PcFLoyef.jpg,CZIt20emgLY -r9IXze_tPM MKIXQdv4G7o 
54,152748,Ain't Them Bodies Saints,Every day I wake up thinking today's the day I'm gonna see you.,2013-07-03,xkGkVjeMcvEg7P3VxWy8wYBJ7Dv,/A7z7AE0USbyYkgcRlU94KgelKUn.jpg,ga0c0v-stK0 
55,812,Aladdin,Wish granted!,1992-11-25,n4N2pIHsrQmXZArfLFgvowbfvFn,/5OeY4U2rzePxWq2rkqMajUx2gz7.jpg,gWLa6y7Z2TE 
56,420817,Aladdin,Choose Wisely.,2019-05-22,3iYQTLGoy7QnjcUYRJy4YrAgGvp,/v4yVTbbl8dE1UP2dWu5CLyaXOku.jpg,9g5knnlF7Zo 7hHECMVOq7g foyufD52aog 
57,11238,Aladdin and the King of Thieves,The Spectacular Adventure Continues!,1996-05-20,kTH7qEyvdDYMoQraQZm3LFKCge3,/a7WdS5iDNHtwJNrcKqUb6rC2w9l.jpg,eIobMaMQwVY zIJFDIV7SrI 
58,1966,Alexander,The greatest legend of all was real,2004-11-21,4K3rfHv7Cv6BHhtoXIdXHeO3oE5,/sqY4MVhtCCwQsUaiO9ge3HLSfYy.jpg,Bh6LKIdxqCU WPwTtlx7wQU 
59,218778,Alexander and the Terrible.. Horrible.. No Good.. Very Bad Day,One day can change everything.,2014-10-08,AqX5CE4WNuewyNY3MFt6wB7UzXz,/veemaD7rVnC72i3qLddo5dZqr1r.jpg,Z_dideF5qvk 
60,8489,Ali,Float like a butterfly and sting like a bee.,2001-12-11,egzfj0JpgrVfpMXF4tfHpzEYM70,/gVtm7G5NtQxjFNA5ydqxslxjCuk.jpg,4HooryZXjcE 
61,241259,Alice Through the Looking Glass,It's time for a little madness.,2016-05-25,uGsjYHPZ0NbI7GHrHlq98D4kFYB,/A6d09KtZKdVGSg0gzsldjDwwvhD.jpg,OiEG3Zr_Jxs dX-bT1SdKj8 f20pL_rn3DE KKE0Py64jmk 0xduIrmvnUE bSgTU0svg9M fomWLkyO_SY 
62,348,Alien,In space no one can hear you scream.,1979-05-25,vfrQk5IPloGg1v9Rzbh2Eg3VGyM,/AmR3JG1VQVxU8TfAvljUhfSFUOx.jpg,097uj1HjkbM zKPU_htSQDo MNZPs5AKibU 1flrUTItNPE WMnBD3xn_aU 
63,8078,Alien Resurrection,It's already too late.,1997-11-12,rKieU3TLipKPmC4yXmsiHBRLnMG,/4hqxQQsBJpktbFA7ERZxAeqMVYH.jpg,vu1tVYGsJ1Q 
64,126889,Alien: Covenant,The path to paradise begins in hell,2017-05-09,zecMELPbU5YMQpC81Z8ImaaXuf9,/6jajFcaY2YsfGQstJ5HaqZNVseX.jpg,H0VW6sg50Pk svnAD0TApb8 
